Product Title,Brand,Price,Compare At Price,Product URL,First Image URL,All Image URLs,Variant Titles,Product Type,SKU,Available Stock
"Akoni Wise AKX 418B Frame","Akoni","89900.00","","https://jaiswalopticals.com/products/akoni-wise-akx-418b-frame","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Wise_AKX_418B_Frame_01.jpg?v=1770089516","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Wise_AKX_418B_Frame_01.jpg?v=1770089516, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Wise_AKX_418B_Frame_02.jpg?v=1770089516, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Wise_AKX_418B_Frame_03.jpg?v=1770089516","45 / Transparent Clear Crystal","Glasses","FRAKOFFFBGDTFHMD","true"
"Akoni Skyracer 511B GLD-GLD Sunglasses","Akoni","109900.00","","https://jaiswalopticals.com/products/akoni-skyracer-511b-gld-gld-sunglasses","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-skyracer-aks-511b-gld-sunglass-01_278a90a3-8f9c-444a-baf2-43b3a7661d0a.webp?v=1770088616","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-skyracer-aks-511b-gld-sunglass-01_278a90a3-8f9c-444a-baf2-43b3a7661d0a.webp?v=1770088616, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-skyracer-aks-511b-gld-sunglass-02.webp?v=1770088616, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-skyracer-aks-511b-gld-sunglass-04.webp?v=1770088616, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-skyracer-aks-511b-gld-sunglass-03.webp?v=1770088616","54 / Gold","Sunglass","SGGEG511BGDNFHM0","true"
"Akoni Eris Two Sunglasses 508B PLD NVY","Akoni","99900.00","","https://jaiswalopticals.com/products/akoni-eris-two-sunglasses-508b-pld-nvy","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-Eris-Two-aks-508-pl-nvy-sunglass-01_1.webp?v=1770088609","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-Eris-Two-aks-508-pl-nvy-sunglass-01_1.webp?v=1770088609, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-Eris-Two-aks-508-pl-nvy-sunglass-02_753f1340-b720-48f5-a6c5-7b99fee86757.webp?v=1770088609, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-Eris-Two-aks-508-pl-nvy-sunglass-03_65acc419-5187-4571-a4dd-b42f07fe12db.webp?v=1770088609, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni-Eris-Two-aks-508-pl-nvy-sunglass-04_f1d439b3-cf53-4cc3-b81e-9c6c118b9d23.webp?v=1770088609","51 / Blue","Sunglass","SGGEGGUOGSLKFHMD","true"
"Akoni AKS 205 A GLD BLK Sunglasses","Akoni","109000.00","","https://jaiswalopticals.com/products/akoni-aks-205-a-gld-blk-sunglasses","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_01.webp?v=1770088602","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_01.webp?v=1770088602, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_02.webp?v=1770088602, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_03.webp?v=1770088602, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_04.webp?v=1770088602, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_05.webp?v=1770088602, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_AKS_205A_GLD_BLK_Sunglass_06.webp?v=1770088602","57 / Black & Gold","Sunglass","SGGEGAKS2K-QFHMD","true"
"Akoni COSMO Frame AKX-114D BLK-BLK","Akoni","86900.00","","https://jaiswalopticals.com/products/akoni-cosmo-frame-akx-114d-blk-blk","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Cosmo_Frame_AKX-114D_BLK-BLK_001_cfdd508d-e732-403c-9303-d1dee3a440f7.webp?v=1770076964","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Cosmo_Frame_AKX-114D_BLK-BLK_001_cfdd508d-e732-403c-9303-d1dee3a440f7.webp?v=1770076964, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Cosmo_Frame_AKX-114D_BLK-BLK_002_6fef9bd0-a475-4d13-a75e-1479e24d5b2f.webp?v=1770076964, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Cosmo_Frame_AKX-114D_BLK-BLK_003_b96a55eb-b50e-4e3f-9c2c-5e9104be7778.webp?v=1770076964","52 / Black","Glasses","FRAKO114DBKLFHME","true"
"Akoni INFINITY Frame AKX-512C BLK-TRT","Akoni","105900.00","","https://jaiswalopticals.com/products/akoni-infinity-frame-akx-512c-blk-trt","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Infinity_Frame_AKX-512C_BLK-TRT_001_6f204e9a-81c8-4023-8952-e8c5aa5c8fd7.webp?v=1770076955","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Infinity_Frame_AKX-512C_BLK-TRT_001_6f204e9a-81c8-4023-8952-e8c5aa5c8fd7.webp?v=1770076955, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Infinity_Frame_AKX-512C_BLK-TRT_002_f4fce4ac-ae58-48c9-b788-f9ff43a191f7.webp?v=1770076955, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_Infinity_Frame_AKX-512C_BLK-TRT_003_b21b4542-41af-4b94-af24-a28e82ff41b7.webp?v=1770076955","46 / Green Tortoise Swirl","Glasses","FRAKO512CK-ZFHME","true"
"Akoni JUNO-ONE Frame AKX-308C SLV","Akoni","82500.00","","https://jaiswalopticals.com/products/akoni-juno-one-frame-akx-308c-slv","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_JUNO-ONE_Frame_AKX-308C_SLV_001_1a7d53fb-584f-4a27-bd13-4ef3713bc869.webp?v=1770076949","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_JUNO-ONE_Frame_AKX-308C_SLV_001_1a7d53fb-584f-4a27-bd13-4ef3713bc869.webp?v=1770076949, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_JUNO-ONE_Frame_AKX-308C_SLV_002_776f077c-9900-40ad-a484-397b71cc5eb7.webp?v=1770076949, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Akoni_JUNO-ONE_Frame_AKX-308C_SLV_003_56161f51-8f27-4f41-a750-91a1e2680257.webp?v=1770076949","47 / Silver","Glasses","FRAKO308CSLFRHME","true"
"Alcon Dailies Total 1 One Day (30 Lens Pack) - Contact Lenses","alcon-1","3403.00","","https://jaiswalopticals.com/products/alcon-dailies-total-1-one-day-30-lens-pack-contact-lenses","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_01.jpg?v=1770091837","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_01.jpg?v=1770091837, https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_02.jpg?v=1770091837","Default Title","Contact Lenses","","true"
"Alcon Dailies Total 1 - One Day Contact Lenses - Right Eye Prescription","alcon-1","3403.00","","https://jaiswalopticals.com/products/alcon-dailies-total-1-one-day-contact-lenses-right-eye-prescription","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_02_69474701-f72a-41b2-82a2-f73d1d233241.jpg?v=1770091833","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_02_69474701-f72a-41b2-82a2-f73d1d233241.jpg?v=1770091833","Default Title","Contact Lenses","","true"
"Alcon Dailies Total 1 - One Day Contact Lenses - Left Eye Prescription","alcon-1","3403.00","","https://jaiswalopticals.com/products/alcon-dailies-total-1-one-day-contact-lenses-left-eye-prescription","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_02_b4ea571b-a0f6-428e-aba9-008b9b856ea7.jpg?v=1770091830","https://cdn.shopify.com/s/files/1/0694/2051/5411/files/Dailies_Total_02_b4ea571b-a0f6-428e-aba9-008b9b856ea7.jpg?v=1770091830","Default Title","Contact Lenses","","true"
